ts_code,name,industry,pe_ttm,pe_pct,rev_avg,profit_avg,deducted_avg,peg
000089.SZ,深圳机场,机场,22.3753,14.8,25.9729,55.174566666666664,144.51666666666668,0.41
000423.SZ,东阿阿胶,中成药,19.755,14.3,17.020133333333334,31.499966666666666,33.830000000000005,0.63
000426.SZ,兴业银锡,铅锌,21.1674,23.4,40.995666666666665,175.54536666666664,157.48333333333335,0.12
000682.SZ,东方电子,电气设备,15.6409,1.3,15.381233333333332,27.719833333333337,30.49333333333333,0.56
000791.SZ,甘肃能源,水力发电,12.2884,21.0,19.3648,45.89816666666667,99.17999999999999,0.27
000888.SZ,峨眉山A,旅游景点,23.4595,4.2,43.817,84.36353333333332,82.24666666666667,0.28
000899.SZ,赣能股份,火力发电,10.4421,5.8,25.214166666666667,1528.2456333333332,513.8333333333334,0.01
000951.SZ,中国重汽,汽车整车,14.9894,43.6,27.0887,151.68593333333334,169.61999999999998,0.1
000957.SZ,中通客车,汽车整车,16.0687,4.5,32.6802,186.80793333333335,138.96666666666667,0.09
000975.SZ,山金国际,黄金,17.6546,4.5,30.057366666666667,38.7035,43.693333333333335,0.46
001283.SZ,豪鹏科技,电气设备,26.0492,15.4,18.956733333333332,45.19140000000001,29.88333333333333,0.58
001288.SZ,运机集团,专用机械,28.5068,38.3,25.76103333333333,32.2672,9.016666666666666,0.88
001309.SZ,德明利,半导体,21.3324,4.3,114.65253333333332,445.23019999999997,691.3233333333334,0.05
001337.SZ,四川黄金,黄金,26.5039,4.1,21.275166666666667,41.008966666666666,44.32666666666666,0.65
002074.SZ,国轩高科,电气设备,22.4898,10.7,25.478033333333332,109.10916666666667,104.30000000000001,0.21
002140.SZ,东华科技,建筑工程,11.4782,1.6,17.2034,22.775800000000004,13.003333333333336,0.5
002150.SZ,正泰电源,机械基件,26.2914,34.8,34.838499999999996,70.01270000000001,66.51333333333334,0.38
002155.SZ,湖南黄金,黄金,20.5681,1.4,36.824333333333335,53.35176666666666,56.776666666666664,0.39
002170.SZ,芭田股份,农药化肥,11.1161,3.2,22.787233333333333,98.18116666666667,126.27666666666666,0.11
002273.SZ,水晶光电,元器件,29.3506,24.9,16.683133333333334,29.854966666666666,31.613333333333333,0.98
002448.SZ,中原内配,汽车配件,13.8737,23.0,19.5004,50.7106,59.49333333333333,0.27
002468.SZ,申通快递,仓储物流,13.5649,3.6,18.2155,85.0871,82.21000000000001,0.16
002602.SZ,世纪华通,互联网,15.8851,12.4,51.19486666666666,200.42976666666667,213.20666666666668,0.08
002606.SZ,大连电瓷,电气设备,26.0674,41.1,22.2439,77.53766666666668,141.61666666666665,0.34
002668.SZ,TCL智家,家用电器,10.1862,26.7,17.34436666666667,36.38706666666666,39.873333333333335,0.28
002701.SZ,奥瑞金,广告包装,14.7167,45.7,24.285233333333334,22.1527,10.15,0.66
002703.SZ,浙江世宝,汽车配件,69.0225,22.6,37.01166666666666,167.37096666666667,297.3533333333333,0.41
002708.SZ,光洋股份,汽车配件,51.0938,13.0,22.276566666666668,97.21506666666666,99.23,0.53
002716.SZ,湖南白银,小金属,48.2256,31.9,54.296699999999994,103.2759,126.21,0.47
002779.SZ,中坚科技,农用机械,66.7104,11.4,26.871466666666667,92.31853333333333,28.126666666666665,0.72
002782.SZ,可立克,元器件,26.3183,5.4,20.424166666666668,44.85243333333333,16.34,0.59
002827.SZ,高争民爆,化工原料,50.4895,37.4,17.956233333333333,56.05133333333333,69.27999999999999,0.9
002847.SZ,盐津铺子,食品,17.5514,2.6,26.58276666666666,37.08016666666666,39.32333333333333,0.47
002891.SZ,中宠股份,饲料,30.8657,22.7,17.155833333333334,60.576699999999995,70.07666666666667,0.51
002901.SZ,大博医疗,医疗保健,27.8118,16.1,22.662633333333332,178.976,861.18,0.16
002906.SZ,华阳集团,汽车配件,16.8171,2.0,32.45653333333333,27.433899999999998,28.72333333333333,0.61
002920.SZ,德赛西威,汽车配件,23.6516,3.1,30.219000000000005,27.523600000000002,32.693333333333335,0.86
002928.SZ,华夏航空,空运,12.5189,3.4,45.4094,104.15383333333334,200.87666666666667,0.12
002947.SZ,恒铭达,元器件,23.3934,34.9,23.05173333333333,41.42823333333334,40.276666666666664,0.56
002970.SZ,锐明技术,IT设备,26.8824,20.5,25.142666666666667,128.6617,129.67333333333335,0.21
002997.SZ,瑞鹄模具,汽车配件,13.7815,1.2,41.89706666666667,43.1638,57.10333333333333,0.32
003010.SZ,若羽臣,互联网,34.6397,29.4,45.28643333333334,79.84416666666667,81.68,0.43
300001.SZ,特锐德,电气设备,29.6284,22.4,16.4614,67.55823333333332,98.12333333333333,0.44
300008.SZ,天海防务,船舶,31.4845,2.0,18.684100000000004,41.71606666666667,39.05,0.75
300035.SZ,中科电气,电气设备,23.8105,6.2,19.600833333333334,197.7041,72.13,0.12
300113.SZ,顺网科技,互联网,28.5758,2.6,16.90523333333333,85.3895,70.83666666666666,0.33
300139.SZ,晓程科技,黄金,58.4159,14.4,58.502633333333335,232.03483333333335,196.65333333333334,0.25
300144.SZ,宋城演艺,旅游景点,21.0665,3.8,113.21480000000001,300.64743333333337,417.01,0.07
300181.SZ,佐力药业,中成药,15.551,3.9,19.4249,32.4394,32.876666666666665,0.48
300304.SZ,云意电气,汽车配件,20.7659,41.0,22.84176666666667,26.459999999999997,30.913333333333338,0.78
300415.SZ,伊之密,专用机械,14.0568,7.7,18.125200000000003,20.552433333333337,23.666666666666668,0.68
300444.SZ,双杰电气,电气设备,17.992,1.4,38.880766666666666,89.2057,55.28,0.2
300446.SZ,航天智造,汽车配件,13.8205,2.7,22.8648,53.22299999999999,6682.330000000001,0.26
300458.SZ,全志科技,半导体,89.2013,39.1,23.762900000000002,198.0809,514.9333333333333,0.45
300505.SZ,川金诺,农药化肥,12.2763,1.6,17.6448,107.96953333333333,97.96333333333335,0.11
300573.SZ,兴齐眼药,化学制药,20.0682,3.8,25.695266666666665,53.35603333333333,53.56333333333333,0.38
300602.SZ,飞荣达,元器件,48.4233,6.5,15.289966666666666,50.0941,379.6466666666667,0.97
300611.SZ,美力科技,汽车配件,39.0189,33.5,22.853033333333332,135.6824,126.91666666666667,0.29
300641.SZ,正丹股份,化工原料,19.2535,32.3,72.81153333333333,7952.933766666666,8393.806666666667,0.0
300680.SZ,隆盛科技,汽车配件,25.7711,7.6,33.563966666666666,51.3965,41.53666666666667,0.5
300681.SZ,英搏尔,汽车配件,26.2999,5.1,27.033433333333335,127.38619999999999,117.64666666666666,0.21
300693.SZ,盛弘股份,电气设备,21.7687,18.6,34.9831,32.559533333333334,33.333333333333336,0.67
300724.SZ,捷佳伟创,专用机械,9.1386,16.1,47.87146666666667,39.97183333333333,39.07666666666667,0.23
300790.SZ,宇瞳光学,元器件,34.184,17.8,22.4507,150.1375,247.52666666666664,0.23
300827.SZ,上能电气,电气设备,29.1775,11.5,41.883199999999995,102.48246666666667,117.81666666666668,0.28
300850.SZ,新强联,机械基件,15.223,2.9,22.614533333333338,362.4862333333333,106.63333333333333,0.04
300893.SZ,松原安全,汽车配件,20.3553,1.2,39.6336,46.63743333333333,45.73333333333333,0.44
300926.SZ,博俊科技,汽车配件,9.6857,2.1,62.300999999999995,81.53320000000001,81.19666666666667,0.12
300953.SZ,震裕科技,电气设备,30.3839,0.2,19.883599999999998,179.00726666666665,850.7733333333334,0.17
300972.SZ,万辰集团,食品,24.5051,12.7,633.0207333333333,179.44283333333337,149.89666666666668,0.14
300975.SZ,商络电子,元器件,30.116,24.0,16.443833333333334,120.5806,136.27,0.25
